0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:47 +0530] "GET /CollaborationFrontEnd/resources/js/angular.js HTTP/1.1" 200 1219326
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:47 +0530] "GET /CollaborationFrontEnd/c_user/UserServices.js HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:47 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:47 +0530] "GET /CollaborationFrontEnd/c_blog/BlogServices.js HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:47 +0530] "GET /CollaborationFrontEnd/resources/js/angular-cookies.min.js HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:47 +0530] "GET /CollaborationFrontEnd/resources/js/angular-route.js HTTP/1.1" 200 39916
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/c_common/Home.html HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/c_common/NavBar.html HTTP/1.1" 200 9908
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/c_common/Footer.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/resources/Images/job.jpg HTTP/1.1" 200 17763
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/resources/Images/blog.jpg HTTP/1.1" 200 10795
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/resources/Images/alumni1.jpg HTTP/1.1" 200 8120
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:43:50 +0530] "GET /CollaborationFrontEnd/resources/bootstrap/bootstrap-social.css HTTP/1.1" 200 28229
