127.0.0.1 - - [17/Mar/2017:11:20:16 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:27 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_user/UserServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_blog/BlogServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_event/EventServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:28 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:29 +0530] "GET /CollaborationFrontEnd/c_job/JobServices.js HTTP/1.1" 200 5847
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:29 +0530] "GET /CollaborationFrontEnd/c_common/NavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:29 +0530] "GET /CollaborationFrontEnd/c_common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:30 +0530] "GET /CollaborationFrontEnd/resources/Images/job.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:30 +0530] "GET /CollaborationFrontEnd/resources/Images/blog.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:30 +0530] "GET /CollaborationFrontEnd/c_common/Footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:30 +0530] "GET /CollaborationFrontEnd/resources/bootstrap/bootstrap-social.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:32 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_user/UserServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_blog/BlogServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/resources/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/resources/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_event/EventServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:20:56 +0530] "GET /CollaborationFrontEnd/c_job/JobServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:16 +0530] "GET /CollaborationFrontEnd/resources/Images/job.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:16 +0530] "GET /CollaborationFrontEnd/resources/Images/blog.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:16 +0530] "GET /CollaborationFrontEnd/resources/Images/alumni1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:16 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:45 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_user/UserServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_blog/BlogServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_event/EventServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_job/JobServices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:48 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:51 +0530] "GET /CollaborationFrontEnd/c_common/NavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:51 +0530] "GET /CollaborationFrontEnd/c_common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:21:52 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:03 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:04 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:14 +0530] "POST /CollaborationPlatform//login HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:14 +0530] "GET /CollaborationFrontEnd/c_user/userHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:14 +0530] "GET /CollaborationFrontEnd/c_blog/AllBlogs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:14 +0530] "GET /CollaborationFrontEnd/c_event/AllEvents.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:14 +0530] "GET /CollaborationFrontEnd/c_job/AllJobs.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:15 +0530] "GET /CollaborationPlatform//getAllBlogs HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:15 +0530] "GET /CollaborationPlatform//getAllJobs HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:15 +0530] "GET /CollaborationPlatform//getAllOpenJobs HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:15 +0530] "GET /CollaborationPlatform//getAllEvents HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:23 +0530] "GET /CollaborationFrontEnd/resources/js/angular-cookies.min.js.map HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:22:45 +0530] "POST /CollaborationPlatform//applyForJob HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [17/Mar/2017:11:24:39 +0530] "GET /CollaborationPlatform//applyForJob HTTP/1.1" 404 1062
